timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-05-29T10:42	baseline	msra-pipeline	-	88.1	baseline	-	结构优良，编排器纯调度架构清晰	dry_run
2026-05-29T11:03	de1bd81	msra-pipeline	88.1	92.1	keep	dim1+dim3+dim5+dim6	触发词+错误优先级+信号冲突+shared refs	dry_run
2026-05-29T10:42	baseline	msra-data-prep	-	82.4	baseline	-	数据验证清洗完整，反例黑名单出色	dry_run
2026-05-29T11:00	039fb81	msra-data-prep	82.4	84.7	keep	dim1+dim3+dim6-frontmatter+失败模式+资源	触发词+变量构造fallback+shared ref	dry_run
2026-05-29T11:01	74090bb	msra-data-prep	84.7	85.7	keep	dim4+dim6-检查点+资源	Phase1+7检查点+清洗报告shared ref	dry_run
2026-05-29T11:02	c53eef8	msra-data-prep	85.7	88.1	keep	dim2+dim7-工作流+架构	工作流流程图+架构增强	dry_run
2026-05-29T10:42	baseline	msra-analysis-plan	-	80.8	baseline	-	决策树详尽，Estimands框架完整	dry_run
2026-05-29T10:57	0f138f8	msra-analysis-plan	80.8	84.7	keep	dim1+dim3+dim6-frontmatter+失败模式+资源	触发词+EDA/SAP fallback表+shared引用	dry_run
2026-05-29T10:58	99ff429	msra-analysis-plan	84.7	85.7	keep	dim4+dim6-检查点+资源	EDA+Estimands检查点+Estimands shared ref	dry_run
2026-05-29T10:59	83e6814	msra-analysis-plan	85.7	86.3	keep	dim7+dim9-架构+反例	EDA禁忌章节3条新条目（总数15→18）	dry_run
2026-05-29T10:51	36ebcbe	msra-analysis-exec	80.3	83.7	keep	dim5-可执行具体性	输出格式模板+R代码示例+错误分类阈值	dry_run
2026-05-29T10:53	3f7ca0b	msra-analysis-exec	83.7	85.0	keep	dim1+dim4-frontmatter+checkpoint	触发词+works_with+Phase3检查点	dry_run
2026-05-29T10:54	8a03ce7	msra-analysis-exec	85.0	86.2	keep	dim3-失败模式编码	安全性分析+质检失败三段式fallback表	dry_run
2026-05-29T10:42	baseline	msra-report	-	79.6	baseline	-	两阶段生成策略独特，合规检查完备	dry_run
2026-05-29T10:55	79e7cac	msra-report	79.6	81.5	keep	dim1+dim6-frontmatter+资源整合度	触发词+works_with+4处shared/引用	dry_run
2026-05-29T10:56	4d42507	msra-report	81.5	83.3	keep	dim3+dim4-失败模式+检查点	Phase1/3检查点+图表生成fallback表	dry_run
2026-05-29T11:05	ae1ddc4	msra-analysis-exec	86.2	87.8	keep	dim7-架构	添加工作流架构图	full_test(dim8=7.67)
2026-05-29T11:05	ae1ddc4	msra-report	83.3	84.9	keep	dim7-架构	添加工作流架构图	full_test(dim8=8.3)
2026-05-29T11:07	fulltest	msra-pipeline	92.1	92.1	score	dim8-实测表现	full_test judge score: 9.0/10	full_test
2026-05-29T11:07	fulltest	msra-data-prep	88.1	88.1	score	dim8-实测表现	full_test judge score: 7.2/10	full_test
2026-05-29T11:07	fulltest	msra-analysis-plan	86.3	86.3	score	dim8-实测表现	full_test judge score: 8.0/10	full_test
2026-05-29T11:07	fulltest	msra-analysis-exec	87.8	87.8	score	dim8-实测表现	full_test judge score: 7.67/10	full_test
2026-05-29T11:07	fulltest	msra-report	84.9	84.9	score	dim8-实测表现	full_test judge score: 8.3/10	full_test
2026-05-29T13:45	reeval	msra-pipeline	92.1	90.0	reeval	d1=8,d2=9,d3=9,d4=10,d5=9,d6=10,d7=9,d8=9,d9=10	重大架构重构：研究类型分流+三级Checkpoint+收敛检测；-2.1分主因结构复杂度上升与体积膨胀(669行→篇幅增大影响dim5/dim7)	dry_run
2026-05-29T13:45	reeval	msra-data-prep	88.1	85.9	reeval	d1=8,d2=9,d3=8,d4=9,d5=9,d6=10,d7=9,d8=8,d9=10	变量构造移出+EDA前移+Phase8门闸重写；-2.2分主因流程重组后部分failure mode需补充	dry_run
2026-05-29T13:45	reeval	msra-analysis-plan	86.3	86.7	reeval	d1=8,d2=9,d3=9,d4=9,d5=9,d6=9,d7=9,d8=8,d9=9	新增变量构造定义Phase6(+1.5)但研究类型分支增加复杂度(-1.1)；+0.4微幅改善	dry_run
2026-05-29T13:45	reeval	msra-analysis-exec	87.8	88.8	reeval	d1=9,d2=9,d3=9,d4=9,d5=9,d6=9,d7=9,d8=9,d9=9	新增样本量验证Phase0+变量构造Phase1+8类假设检验Phase7；+1.0分实质性增强	dry_run
2026-05-29T13:45	reeval	msra-report	84.9	85.3	reeval	d1=8,d2=9,d3=9,d4=9,d5=9,d6=8,d7=9,d8=8,d9=9	两阶段生成策略+结果解读增强+异常处理；+0.4微幅改善	dry_run
2026-05-29T13:48	93e2bca	msra-report	85.3	86.4	keep	dim1-frontmatter	触発词从8种扩至19种(新增英文+场景词)	dry_run
2026-05-29T13:50	f0566c6	msra-data-prep	85.9	87.1	keep	dim3-failure-mode	Phase4/5/6补充3张三阶段fallback表	dry_run
2026-05-29T13:52	57ddb0f	msra-report	86.4	86.8	keep	dim6-resources	Phase2新增shared/checklists引用	HL-4触顶:dry_run
2026-05-29T13:54	c25ae7d	msra-analysis-plan	86.7	86.8	keep	dim1-frontmatter	触发词从8种扩至22种(新增英文+场景词)	dry_run
2026-05-29T13:55	11e56af	msra-analysis-plan	86.8	87.2	keep	dim6-resources	Phase5/6新增shared/checklists+shared/templates引用	HL-4触顶:dry_run
2026-05-29T13:56	5171e70	msra-data-prep	87.1	87.8	keep	dim1-frontmatter	触发词从6种扩至17种(新增英文+场景词)	HL-4触顶:dry_run
2026-05-29T13:57	summary	-	-	-	phase3	-	优化汇总：3个skill共5轮优化，0回滚，4次HL-4触顶	dry_run
2026-05-29T21:21	d9ccf91	jama-methods	45.0	71.1	keep	d1+d3+d9+chapters	frontmatter+失败模式+反例+OCR填充6章(avg 52K chars)	dry_run
2026-05-29T21:31	a4edccf	jama-methods	71.1	85.0	keep	d6+d8+chapter-cleanup	批量OCR填充36章+删除14章无关内容(数据库指南)；41章全部有实质内容(avg 10KB/ch)	dry_run
2026-05-29T21:47	e9fb81d	msra-pipeline	90.0	92.0	keep	arch	Material Passport(shared/passport) + 4个Agent定义文件(data_validator/method_consultant/code_executor/qc_inspector)	dry_run
2026-05-29T23:32	re-reeval-all	msra-pipeline	92.0	91.5	reeval	d1=9,d2=9,d3=9,d4=10,d5=8,d6=10,d7=8,d8=9,d9=9	二次重评：编排器架构优秀但763行偏重,checkpoint协议和progress tracking有冗余	dry_run
